Question,Correct Answer
"In the year 2010 like every other year loads of music albums were released by multiple artists. Evacuate Chicago released Veracity, Living Sacrifice released The Infinite Order, DJ Khaled released Victory, Jazmine Sullivan released Love Me Back and Kesha released Cannibal. Similarly in 2011 Cake released Showroom of Compassion, Covenant released Modern Ruin, Pearl Jam released Live on Ten Legs and White Lies released Ritual. Veracity's main genre is Metalcore and so is The Infinite Order's main genre. In which year was the former released?",2010
"Genesis are an English rock band formed at Charterhouse School, Godalming, Surrey, in 1967.  In the 1970s, during which the band also included singer Peter Gabriel and guitarist Steve Hackett, Genesis were among the pioneers of progressive rock. The band's longest-existing and most commercially successful line-up consisted of keyboardist Tony Banks, bassist/guitarist Mike Rutherford and drummer/singer Phil Collins. Before Phil Collins, who was the lead singer of Genesis?",Peter Gabriel
"Ultraviolence is the third studio album by American singer-songwriter Lana Del Rey, released on June 13, 2014, by Polydor and Interscope Records. To promote the album, five singles West Coast, Shades of Cool, Ultraviolence, Black Beauty and Brooklyn Baby. Out of these 5, one song  is explicit and the other 4 are not. The 5th song in the list is explicit. What is its name?",Brooklyn Baby
"Shafqat Amanat Ali Khan pronounced is a Pakistani pop and classical singer, songwriter, and composer belonging to the Patiala Gharana tradition of music. Ali was introduced to the Indian film industry by singer and music composer Shankar Mahadevan and eventually went on to sing the massively popular Sufi rock ballad Mitwa for the film Kabhi Alvida Naa Kehna. Along with this genre, he is also famous for his Hindustani classical semi-classical songs. Is the artist who sang the 3rd song Tere Naina in My Name Is Khan famous for his Sufi music? For reference it is Ali who sang this particular song.",True
"Sonu Nigam and Shreya Ghoshal sang mutilple duets together which inlude Main Hoon Na, Zoobi Doobi, Main Agar Kahoon, Piyu Bole, Shukran Allah. Zoobi Doobi is from 3 Idiots and Main Agar Kahoon is from Om Shanti Om. Can you name a common artist in these two albums?",Sonu Nigam/Shreya Ghoshal
"An Indian rock band formed in Chandigarh in 2008 and based in New Delhi since 2015, started their career by releasing a stream of singles. The band's debut album Aalas Ka Pedh has been among the top 5 most-streamed rock music albums on Apple Music India. Could you name the band?",The Local Train
"The album Dazed and Confused was released by an English rock band, formed in London in 1963. The band started the careers of three of rock's most famous guitarists: Eric Clapton , Jeff Beck  and Jimmy Page , all of whom ranked in the top five of Rolling Stone magazine's list of 100 greatest guitarists. What is the name of the band?",The Yardbirds
Chale Chalo is part of the hindi movie Lagaan which stars Aamir Khan and has the most number of British actors playing a significant role in the entire history of Bollywood cinema. Who is the artist of this song?,A. R. Rahman
"Ed Sheeran released a song named Lego House whose official video stars Rupert Grint, also known as Ron Weasley from Harry Potter. Thinking Out Loud is another hit of his which has become an all time favourite. Could you tell me what is the duration of the latter?",281560/252520
"Keith Urban is an Australian and American singer, guitarist, and songwriter known for his work in country music. Urban has released 11 studio albums, as well as one album with the Ranch.In 2018 he released Graffiti U. How many tracks does it have?",15
