Question,Correct Answer
"The 2017 Census of Pakistan was a detailed enumeration of the Pakistani population which began on 15 March and ended on 25 May of the same year. Lahore is home to 11,126,285 people while Hyderabad, including the cantonment area, is home to 1,733,622 people, according to the census. Hyderabad thus has more than 1.7 million people according to which year?",2017
"Colt State Park is an public open space that occupies 464 acres on Poppasquash Neck in the town of Bristol, Rhode Island, United States. The United States has mulitple attractions like this across the country. Could you name one state in the United States whose name starts with the letter R?",Rhode Island
"Turkey has a university which has the same name as a very famous super-hero who appears in comic books published by DC Comics, as the alias of Bruce Wayne. It's called the Batman University. Do you know in which country is the university located?",Turkey
"A runway is a defined rectangular area on a land aerodrome prepared for the landing and takeoff of aircraft. It is usually made up of asphalt or concrete. Out of Frankfurt Airport, Munich Airport and Berlin Brandenburg Airport which also have runways made up of these, Munich has only one surface made up of the second material while the other two have surfaces made up of both. What is the common material used in the runways of these 3 airports?",Concrete
"Specifically located in the northern part of the Indian subcontinent, Punjab is a geopolitical, cultural, and historical region comprising areas of modern-day eastern-Pakistan and northwestern-India. It is also a state in both countries. Name a state which shares the same name in India and Pakistan?",Punjab
"Currently, the euro (€) is the official currency of 20 out of 27 EU member countries which together constitute the Eurozone, officially called the euro area. Lithuania a member of the EU and Eurozone, is also part of the Council of Europe, the Nordic Investment Bank, the Schengen Agreement, NATO, and OECD. What is the currency used in the country? ",Euro
"Frank-Walter Steinmeier is the Federal President of Germany since March 19, 2017. On February 13, 2022, he was re-elected for a second term, which ends on March 18, 2027. Who is the current chancellor of the country?",Olaf Scholz
Labuan is an island federal territory of Malaysia. The name Labuan derives from the Malay word labuhan which means harbour. What is the total area of the state in sq km.,92
"Mainhattan is a term referring to Frankfurt's skyline. Most international banks have a seat here and the city has sprouted a good selection of skyscrapers over the last few decades, which, together with the fact that the city lies on the river Main has given it its moniker of Mainhattan. Of which state is Frankfurt the most populous city of?",Hesse
"The Leaning Tower of Niles is a half-size replica of the Leaning Tower of Pisa, which is the campanile, or freestanding bell tower, of Pisa Cathedral. The tower is one of three structures in the Pisa's Cathedral Square, which includes the cathedral and Pisa Baptistry. What is the location of the replica?","Illinois, United States"
"The 2017 Census of Pakistan was a detailed enumeration of the Pakistani population which began on 15 March and ended on 25 May of the same year. Lahore is home to 11,126,285 people while Hyderabad, including the cantonment area, is home to 1,733,622 people, according to this census. Hyderabad thus has more than 1.7 million people according to which year?",2017
