Question,Correct Answer
How many years passed between the construction of Schwerin Castle in Germany and the construction of Neuschwanstein Castle?,913
Give me the state whose name starts with the letter L in the country in which the Fort Amiel is located?,Limpopo
Name the state which shares the same name in the country where the state Azad Kashmir is located and India?,Punjab
"What is the common material that is used in the runways of Frankfurt Airport, Munich Airport and Berlin Brandenburg Airport?",Concrete
"Who is the leader of the capital of the country, whose name is the same as the name of the state in which Columbus State University is located?",Kakha Kaladze
"Name the architect whose works include the Leeza SOHO, the BMW Central Building and the Jockey Club Innovation Tower?",Zaha Hadid
Who is the 2nd leader of the country in which Sajama National Park is located and what is his/her designation?,David Choquehuanca (Vice President of Bolivia)
"What is the capital of the country in which two out of the three: Aston University, Belfast Metropolitan College and Open University, are located?",London
"In the year that the Statue of Liberty Museum and National Museum opened, England won the 50 over cricket world cup for the first time. What year was it?",2019
"Out of the four universities: University of Mannheim, Karlsruhe Institute of Technology, Heidelberg University and University of Freiburg, name one university that has more than 22000 students? ",Karlsruhe Institute of Technology
Give me the state whose name starts with the letter R in the country in which the Devils Tower is located?,Rhode Island
Its the year 2023. How long has it been since the Neuschwanstein Castle in Germany has been built?,137 years

