Question,Correct Answer
What is the capital city of Australia?,Canberra
"Machu Picchu, a famous Incan citadel, is a World Heritage Site located in which country?",Peru
"The Great Barrier Reef, a UNESCO World Heritage Site, is located in which ocean?",Coral Sea
What Ivy League university is located in the state of New Jersey?,Princeton University
"In which Asian city would you find the Petronas Towers, once the tallest twin towers in the world?",Kuala Lumpur
"Dubai, known for its modern architecture and luxury shopping, is a major city in which Middle Eastern country?",United Arab Emirates
Which U.S. state is often referred to as the Sunshine State and is famous for its theme parks and oranges?,Florida
"Queensland, famous for the Great Barrier Reef and the Gold Coast, is a state in which Southern Hemisphere country?",Australia
Which Middle Eastern airport is a major hub for international travel and is the home base for Qatar Airways,Hamad International Airport
"In which city would you find Heathrow Airport, one of the busiest airports in Europe?",London
