Question,Correct Answer
Who is the lead singer of The Cocteau Twins?,Elizabeth Fraser
"Before Phil Collins, who was the lead singer of Genesis?",Peter Gabriel
Name all the members of Busted.,"James Bourne, Matt Willis, Charlie Simpson"
Who sang the song Billie Jean?,MJ
What is the 3rd track of Kind of Blue by Miles Davis?,Blue in Green
Where are The Beatles from?,England
In which album did Rihanna release Pon de Replay?,Music of the Sun
Uncle Dysfunktional was the fifth studio album released by which band in 2007?,The Happy Mondays
Which year did Snoop Dogg release his club-classic Drop It Like It's Hot?,2004
What year was Kate Bush's track Running Up That Hill released?,1985
